name,station_code,region,type,station_id,group_id,observations_url,forecast_url,forecast_chart_url,info_url,data_url,latitude,longitude,elevation,description,established,municipality,provider
Akrafjall,akrfj,Faxafl,sj,31572,11,https://www.vedur.is/vedur/athuganir/kort/faxafloi/#group=11&station=31572,https://www.vedur.is/vedur/spar/stadaspar/faxafloi/#group=11&station=31572,https://www.vedur.is/vedur/spar/sparit/#m1=31572,https://www.vedur.is/vedur/stodvar/?s=akrfj,https://www.vedur.is/,64.3105,-21.966,37.0,"64°18.631', 21°57.963' (64,3105, 21,966)",,,Vegagerðin
Akureyri - Krossanesbraut,akurk,NA.land,sj,3471,15,https://www.vedur.is/vedur/athuganir/kort/nordurland_eystra/#group=15&station=3471,https://www.vedur.is/vedur/spar/stadaspar/nordurland_eystra/#group=15&station=3471,https://www.vedur.is/vedur/spar/sparit/#m1=3471,https://www.vedur.is/vedur/stodvar/?s=akurk,https://www.vedur.is/,65.6961,-18.1113,30.0,"65°41.767', 18°06.679' (65,6961, 18,1113)",,,Veðurstofa Íslands
Arnarnesvegur,arnve,Faxafl,sj,31109,100,https://www.vedur.is/vedur/athuganir/kort/hofudborgarsvaedid/#group=100&station=31109,,,https://www.vedur.is/vedur/stodvar/?s=arnve,https://www.vedur.is/,64.0888,-21.8366,116.4000015258789,"64°05.325', 21°50.194' (64,0888, 21,8366)",,,Vegagerðin
Austurárdalsháls,audal,Str.& NV,sj,3007,114,https://www.vedur.is/vedur/athuganir/kort/nordurland_vestra/#group=114&station=3007,https://www.vedur.is/vedur/spar/stadaspar/nordurland_vestra/#group=114&station=3007,https://www.vedur.is/vedur/spar/sparit/#m1=3007,https://www.vedur.is/vedur/stodvar/?s=audal,https://www.vedur.is/,65.123,-20.6961,383.0,"65°07.380', 20°41.767' (65,123, 20,6961)",,,Veðurstofa Íslands
Árnes,arnes,S.land,sj,6420,19,https://www.vedur.is/vedur/athuganir/kort/sudurland/#group=19&station=6420,https://www.vedur.is/vedur/spar/stadaspar/sudurland/#group=19&station=6420,https://www.vedur.is/vedur/spar/sparit/#m1=6420,https://www.vedur.is/vedur/stodvar/?s=arnes,https://www.vedur.is/,64.0405,-20.2521,87.0,"64°02.432', 20°15.125' (64,0405, 20,2521)",,,Veðurstofa Íslands
Ásbyrgi,asbrg,NA.land,sj,4614,15,https://www.vedur.is/vedur/athuganir/kort/nordurland_eystra/#group=15&station=4614,https://www.vedur.is/vedur/spar/stadaspar/nordurland_eystra/#group=15&station=4614,https://www.vedur.is/vedur/spar/sparit/#m1=4614,https://www.vedur.is/vedur/stodvar/?s=asbrg,https://www.vedur.is/,66.03,-16.4833,31.5,"66°01.797', 16°28.998' (66,03, 16,4833)",,,Veðurstofa Íslands
Ásgarður,asgar,Breiðafj,sj,2175,12,https://www.vedur.is/vedur/athuganir/kort/breidafjordur/#group=12&station=2175,https://www.vedur.is/vedur/spar/stadaspar/breidafjordur/#group=12&station=2175,https://www.vedur.is/vedur/spar/sparit/#m1=2175,https://www.vedur.is/vedur/stodvar/?s=asgar,https://www.vedur.is/,65.2297,-21.7543,47.900001525878906,"65°13.782', 21°45.256' (65,2297, 21,7543)",,,Veðurstofa Íslands
Bakkagerði,bfjeb,A.land,sj,4380,16,https://www.vedur.is/vedur/athuganir/kort/austurland/#group=16&station=4380,,,https://www.vedur.is/vedur/stodvar/?s=bfjeb,https://www.vedur.is/,65.5235,-13.8167,28.0,"65°31.412', 13°49.004' (65,5235, 13,8167)",,,Veðurstofa Íslands
Básar á Goðalandi,basar,S.land,sj,6237,18,https://www.vedur.is/vedur/athuganir/kort/sudausturland/#group=18&station=6237,https://www.vedur.is/vedur/spar/stadaspar/sudausturland/#group=18&station=6237,https://www.vedur.is/vedur/spar/sparit/#m1=6237,https://www.vedur.is/vedur/stodvar/?s=basar,https://www.vedur.is/,63.6791,-19.4814,239.0,"63°40.745', 19°28.883' (63,6791, 19,4814)",,,Veðurstofa Íslands
Biskupsháls,biskh,NA.land,sj,34326,24,https://www.vedur.is/vedur/athuganir/kort/nordurland_eystra/#group=24&station=34326,https://www.vedur.is/vedur/spar/stadaspar/nordurland_eystra/#group=24&station=34326,https://www.vedur.is/vedur/spar/sparit/#m1=34326,https://www.vedur.is/vedur/stodvar/?s=biskh,https://www.vedur.is/,65.5583,-16.0113,521.0,"65°33.501', 16°00.680' (65,5583, 16,0113)",,,Vegagerðin
